codigo_softland,descripcion,unidad_medida,rubro,prefijo_rubro,subrubro,prefijo_subrubro
1114,JUEGO PERNO BALANCIN REF,UN,TALLER,TAL,PERNOS,PER
1115,LONA CUBRE CENTRAL,UN,TALLER,TAL,LONAS,LON
1116,"BUJES 1"" X 3/4""",UN,TALLER,TAL,RODAMIENTOS,ROD
1117,ALARGUE PARA ARCO DE LONA,UN,TALLER,TAL,LONAS,LON
1118,ABRAZADERA 16/22,UN,TALLER,TAL,BULONERIA,BUL
1119,NIPLE GALVAN. 1 X 15,UN,TALLER,TAL,CONEXIONES,CON
1120,GUARDACABOS PARA LINGA DE 3/8,UN,TALLER,TAL,FERRETERIA,FER
1121,GUARDACABOS PARA LINGA DE 1/2,UN,TALLER,TAL,FERRETERIA,FER
1122,"TAPON PLASTICO 1""",UN,TALLER,TAL,BULONERIA,BUL
1123,"CUPLA GALVANIZADA DE 1""",UN,TALLER,TAL,HIDRAULICA,HID
1124,RULEMAN 6203 RS,UN,TALLER,TAL,RODAMIENTOS,ROD
1125,ESTOPA BLANCA X 500 GRS,UN,TALLER,TAL,FERRETERIA,FER
1126,FRANELA BNDERITA 50X60,UN,TALLER,TAL,FERRETERIA,FER
1127,REJILLA FLORESTAL PESADA 90,UN,TALLER,TAL,FERRETERIA,FER
1128,RULEMAN 6202,UN,TALLER,TAL,RODAMIENTOS,ROD
1129,OJALES DE LANZA N.3/PIPAS,UN,TALLER,TAL,FERRETERIA,FER
1130,PINTURA ROJA BRILLANTE,LT,TALLER,TAL,PINTURA,PIN
1131,BUJES REDUCCION 1« A 3/4,UN,TALLER,TAL,CONEXIONES,CON
1132,Chaveta partida de 3mm x 50mm,UN,TALLER,TAL,BULONERIA,BUL
1133,MESA DE PLATO DE 100 MM S/AGUJE,UN,TALLER,TAL,FERRETERIA,FER
1134,CONJUNTO DE PECHO EN CHAPA DOMEX 700,UN,TALLER,TAL,GUIAS RAMPAS Y PECHO,GRP
1135,BRIDA PARA PERNO DE ENGANCHE,UN,TALLER,TAL,PERNOS,PER
1136,"PERNO DE ENGANCHE 2"" COMPLETO MONTENEGRO CON BRIDA Y TORNILLOS",UN,TALLER,TAL,FRENO Y SUSPENSION,FYS
1136,PERNO DE ENGANCHE 5/8,UN,TALLER,TAL,PERNOS,PER
